POSTI;NAME_FI;POSTI_1;BIN;DIS45;BARREN;FOREST;TEMPSUM;AKATP;AKATOSA;ALK_SLQ;TEOL_SLQ;TEOLLAG;NUORET;HERFIND;TYOTIH;TEOLP;PALVP;MAAS;DIS5000;ELEV;VAKILAG;VM0394;MOKKITIH;LSAREA;RETKITIH;LOG;DIS456;DIS20;DIS10;DIS6;TYOP;P;WATER;PALV_LAG;TEOLSLQ;ALK_LAG;PALV_SLQ;AKAT_LAG;TYOVOSA;TYOTMOSA;TYOTOMP;OPISKP;ELAKELP;TAVARAL;TAVELAT;TOIMIOSA;TYOPOSA;TYOTTOMAST;ASK_MTULOT;TAKVELAT;TAVARALL;ALINTL_P;YRITTAJ_P
76620;Pyhitty;76620;0.000;78.180;2.584;65.795;3.302;10.000;0.000;9.511;0.039;3.617;9.000;0.797;2.080;0.421;0.368;0.211;98.320;127.570;4.083;-13.250;0.369;0.381;0.000;0.000;78.180;35.610;8.610;11.890;137.000;0.240;18.569;4.127;0.039;4.372;0.148;7.074;0.024;0.017;11.000;8.000;49.000;69.000;36.000;0.078;0.070;11;15208;36;69;28;13
76780;Lamminm?ki;76780;1.000;64.670;2.080;73.601;3.302;6.000;0.000;2.670;0.225;3.548;5.000;0.229;0.520;0.636;0.227;0.136;110.577;119.588;3.845;12.170;0.404;0.000;0.000;1.000;64.670;48.410;10.770;15.170;24.000;0.085;22.184;3.998;0.225;3.764;0.715;7.015;0.028;0.020;11.000;9.000;30.000;59.000;39.000;0.059;0.012;11;17416;39;59;11;10
76850;Naaraj?rvi;76850;1.000;76.990;5.175;59.108;3.282;8.000;0.000;0.643;2.111;3.274;7.000;0.203;9.330;0.543;0.331;0.126;95.538;118.959;3.492;-9.290;0.407;0.112;0.000;1.000;76.990;45.030;8.020;2.020;1129.000;0.571;13.823;3.689;2.111;3.271;0.778;7.294;0.611;0.473;12.000;16.000;42.000;48.000;37.000;1.322;0.573;12;16548;37;48;21;7
76940;Nenonpelto;76940;1.000;77.740;4.676;65.148;3.292;5.000;0.000;0.023;0.000;3.354;10.000;0.910;56.880;0.590;0.385;0.026;83.618;124.610;3.563;-23.680;1.000;1.204;0.000;1.000;77.740;50.450;15.840;12.610;455.000;0.186;25.093;3.762;0.000;3.140;1.553;7.346;0.046;0.035;12.000;18.000;47.000;38.000;24.000;0.069;0.231;12;18588;24;38;13;8
77120;Venetm?ki;77120;0.000;85.400;1.391;70.706;3.233;2.000;0.000;9.012;0.169;3.216;4.000;0.719;0.270;0.203;0.141;0.656;105.896;145.793;3.269;-17.480;0.855;0.735;0.000;0.000;85.400;72.550;34.810;27.320;32.000;0.147;13.044;3.613;0.169;1.942;0.098;7.425;0.034;0.035;16.000;9.000;63.000;106.000;49.000;0.039;0.016;16;11634;49;106;19;6
77140;Huumala;77140;0.000;90.670;0.838;74.640;3.239;3.000;0.000;9.859;0.000;3.502;5.000;0.855;0.330;0.158;0.079;0.763;96.558;146.701;3.604;-20.810;1.113;0.079;0.000;0.000;90.670;62.390;25.170;16.980;26.000;0.062;7.609;4.009;0.000;2.262;0.120;7.399;0.020;0.015;12.000;12.000;64.000;100.000;48.000;0.000;0.013;12;9660;48;100;29;0
77220;Neuvola;77220;0.000;69.140;3.522;67.875;3.268;5.000;0.000;7.247;0.772;3.244;6.000;0.494;0.280;0.283;0.189;0.528;108.740;121.503;3.400;-9.800;0.815;0.074;0.000;0.000;69.140;58.990;21.240;13.750;28.000;0.095;10.597;3.644;0.772;2.886;0.223;7.290;0.033;0.020;9.000;8.000;62.000;92.000;41.000;0.098;0.014;9;16598;41;92;18;5
77240;Halkokumpu;77240;0.000;62.760;4.606;61.739;3.278;6.000;0.000;7.324;0.000;2.473;11.000;0.504;0.920;0.200;0.120;0.680;113.760;116.603;3.348;-15.580;1.226;0.000;0.000;0.000;62.760;63.970;26.220;18.730;35.000;0.067;8.178;2.174;0.000;4.106;0.446;7.070;0.033;0.037;17.000;17.000;58.000;98.000;42.000;0.020;0.018;17;12292;42;98;19;3
77330;Virtasalmi Keskus;77330;0.000;64.500;1.649;69.781;3.330;3.000;0.000;3.650;0.684;0.944;7.000;0.181;0.970;0.267;0.273;0.460;113.400;114.468;1.547;-11.730;0.409;0.070;0.000;0.000;64.500;47.860;26.180;30.590;237.000;0.154;19.367;0.977;0.684;4.762;0.757;5.862;0.123;0.122;15.000;6.000;68.000;68.000;36.000;0.460;0.120;15;11778;36;68;36;7
77350;Montola;77350;0.000;59.500;4.504;68.085;3.308;2.000;0.000;1.526;0.154;1.759;8.000;0.144;0.780;0.522;0.348;0.130;112.099;116.856;2.814;-18.300;1.000;0.000;0.000;0.000;59.500;57.080;19.440;23.840;35.000;0.099;9.426;1.916;0.154;3.808;0.713;6.707;0.037;0.040;17.000;10.000;55.000;44.000;25.000;0.118;0.018;17;11158;25;44;28;13
77380;Kantala;77380;0.000;49.030;9.381;58.271;3.301;3.000;0.000;5.538;0.200;1.778;3.000;0.343;0.240;0.244;0.171;0.585;122.068;114.045;2.914;-4.720;0.821;4.699;0.000;0.000;49.030;71.790;34.150;33.690;27.000;0.240;8.042;1.935;0.200;4.128;0.636;6.580;0.029;0.040;22.000;7.000;59.000;79.000;25.000;0.137;0.014;22;11716;25;79;30;9
